StudyTime,Attendance,PreviousScore,FinalScore
6.0,89.8,47.1,55.2
4.7,76.5,59.7,49.2
6.3,73.8,65.0,52.5
8.0,82.0,92.7,77.8
4.5,80.3,76.7,60.8
4.5,77.5,54.0,56.0
8.2,89.0,75.8,77.0
6.5,91.6,51.4,64.4
4.1,82.9,83.0,67.0
6.1,96.8,64.3,67.5
4.1,70.6,68.9,49.3
4.1,80.1,85.9,68.9
5.5,74.8,54.6,52.8
1.2,63.3,53.2,36.3
1.6,81.2,63.0,50.3
3.9,80.8,82.5,57.8
3.0,97.1,51.8,54.6
5.6,88.3,36.0,56.9
3.2,71.8,64.6,53.9
2.2,100.0,76.6,58.8
7.9,94.2,84.4,74.8
4.5,87.8,64.4,66.2
5.1,79.7,65.1,62.1
2.2,72.4,83.8,66.1
3.9,78.3,47.6,56.9
5.2,92.9,65.3,70.3
2.7,100.0,72.3,56.2
5.8,97.4,75.4,74.4
3.8,77.1,63.9,55.0
4.4,70.8,70.4,53.7
3.8,83.4,40.1,51.2
8.7,64.3,62.1,66.7
5.0,85.2,75.4,66.9
2.9,80.5,58.2,48.2
6.6,77.3,70.7,67.8
2.6,66.1,75.4,48.8
5.4,87.1,65.9,64.3
1.1,76.7,72.0,49.6
2.3,70.3,58.4,46.6
5.4,53.3,67.5,55.7
6.5,81.7,77.3,62.2
5.3,99.7,71.9,78.9
4.8,98.6,63.0,55.8
4.4,77.4,72.7,56.5
2.0,76.0,78.6,56.8
3.6,86.7,45.4,55.5
4.1,72.0,83.9,59.7
7.1,85.0,66.0,66.3
5.7,89.7,75.1,69.7
1.5,94.3,84.4,60.8
5.6,81.0,53.5,64.8
4.2,80.0,61.5,60.7
3.6,73.2,66.5,58.6
6.2,73.7,60.6,54.0
7.1,79.7,90.8,71.8
6.9,85.7,59.7,63.0
3.3,91.1,63.3,53.8
4.4,74.0,72.5,60.0
5.7,96.9,55.6,61.6
7.0,79.3,65.3,67.4
4.0,81.8,73.8,55.0
4.6,74.5,66.0,65.5
2.8,57.8,68.9,43.1
2.6,90.8,63.6,58.2
6.6,89.4,51.8,66.6
7.7,79.2,73.9,65.5
